"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"07 May 2026","FUTCOM","ALUMINI      ","29MAY2026","-","0.00","367.85","370.10","365.00","367.20","369.75","4306","4306.000 KGS  ","15818.10","3088"
"07 May 2026","FUTCOM","ALUMINI      ","30JUN2026","-","0.00","367.15","370.60","365.95","367.65","369.90","1035","1035.000 KGS  ","3807.32","915"
"07 May 2026","FUTCOM","ALUMINI      ","31JUL2026","-","0.00","369.15","369.95","366.50","367.95","370.15","45","45.000 KGS  ","165.64","55"
"07 May 2026","FUTCOM","ALUMINI      ","31AUG2026","-","0.00","","","","370.15","370.15","0","0.000 KGS  ","0.00","0"
"07 May 2026","FUTCOM","ALUMINI      ","30SEP2026","-","0.00","","","","370.30","370.30","0","0.000 KGS  ","0.00","0"
"07 May 2026","FUTCOM","ALUMINIUM    ","29MAY2026","-","0.00","368.50","369.95","365.10","366.95","369.75","1914","9570.000 KGS  ","35124.64","3147"
"07 May 2026","FUTCOM","ALUMINIUM    ","30JUN2026","-","0.00","367.80","370.55","366.00","367.45","368.85","272","1360.000 KGS  ","5002.65","658"
"07 May 2026","FUTCOM","ALUMINIUM    ","31JUL2026","-","0.00","367.65","367.65","364.70","367.00","366.80","17","85.000 KGS  ","311.43","45"
"07 May 2026","FUTCOM","ALUMINIUM    ","31AUG2026","-","0.00","","","","367.10","367.10","0","0.000 KGS  ","0.00","0"
"07 May 2026","FUTCOM","ALUMINIUM    ","30SEP2026","-","0.00","","","","366.25","366.25","0","0.000 KGS  ","0.00","0"
"07 May 2026","FUTCOM","CARDAMOM     ","29MAY2026","-","0.00","2750.00","2764.00","2742.00","2750.00","2807.00","12","1.200 KGS  ","33.01","41"
"07 May 2026","FUTCOM","CARDAMOM     ","30JUN2026","-","0.00","","","","2876.00","2876.00","0","0.000 KGS  ","0.00","8"
"07 May 2026","FUTCOM","CARDAMOM     ","31JUL2026","-","0.00","","","","2630.00","2630.00","0","0.000 KGS  ","0.00","2"
"07 May 2026","FUTCOM","CARDAMOM     ","31AUG2026","-","0.00","","","","2640.00","2640.00","0","0.000 KGS  ","0.00","0"
"07 May 2026","FUTCOM","CARDAMOM     ","30SEP2026","-","0.00","","","","2640.00","2640.00","0","0.000 KGS  ","0.00","0"
"07 May 2026","OPTFUT","COPPER       ","22MAY2026","PE","1210.00","","","","3.83","3.83","0","0.000 KGS  ","0.00","1"
"07 May 2026","OPTFUT","COPPER       ","22MAY2026","CE","1405.00","","","","0.94","0.94","0","0.000 KGS  ","0.00","0"
"07 May 2026","OPTFUT","COPPER       ","22MAY2026","PE","1215.00","","","","0.75","0.75","0","0.000 KGS  ","0.00","0"
"07 May 2026","OPTFUT","COPPER       ","22MAY2026","PE","1100.00","0.65","0.88","0.62","0.71","0.72","322","805.000 KGS  ","8860.69","219"
"07 May 2026","OPTFUT","COPPER       ","22MAY2026","CE","1395.00","","","","1.42","1.42","0","0.000 KGS  ","0.00","0"
"07 May 2026","OPTFUT","COPPER       ","22MAY2026","CE","1500.00","1.38","1.85","0.87","0.96","1.20","761","1902.500 KGS  ","28561.37","194"
